MyFunction,SuggestedFunctions
tf.concat,split,stack,reshape,squeeze,expand_dims
tf.pad,slice,tile,strided_slice
tf.random.normal,uniform,poisson,gamma
tf.random.uniform,normal,poisson,gamma
torch.randn,rand,normal,bernoulli
train_test_split,cross_val_score,KFold,StratifiedKFold
plt.figure,subplots,title,xlabel,ylabel
plt.plot,scatter,bar,hist
plt.show,None
plt.subplots,figure,title,xlabel,ylabel
randint,random,randrange,choice
nn.Linear,Conv2d,ReLU,BatchNorm2d
nn.Sequential,ModuleList,ModuleDict,Module
np.argmax,argmin,argsort,nanargmax
np.identity,eye,diag,diagflat
np.linspace,logspace,geomspace,arange
drop,dropna,drop_duplicates,pop
find_all,find,select,select_one
groupby,pivot_table,aggregate,transform
get_text,prettify,stripped_strings,get
Model,Sequential,Dense,Conv2D
np.identity,eye,diag
np.linspace,logspace,geomspace
Conv2D,MaxPooling2D,Flatten
cv2.imread,cvtColor,resize
Dense,Activation,Dropout
drop_duplicates,drop,duplicated,groupby,merge
BeautifulSoup,get,fromstring,post,ElementTree
confusion_matrix,classification_report,accuracy_score,f1_score,precision_score
MaxPooling2D,Conv2D,Flatten,BatchNormalization,Dense
nn.MSELoss,L1Loss,CrossEntropyLoss,Adam,SGD
LogisticRegression,train_test_split,accuracy_score,StandardScaler
soup.find,find_all,select,findall
pd.read_pickle,to_pickle,read_csv,read_excel
torch.randperm,randn,rand,tensor
value_counts,unique,drop_duplicates,nunique
fit_transform,fit,transform,inverse_transform,fit_predict
LinearRegression,fit,predict,score,coef_,intercept_,get_params,set_params,residuals,summary
MinMaxScaler,fit_transform,transform,inverse_transform
cv2.contourArea,drawContours,arcLength,approxPolyDP
classification_report,confusion_matrix,accuracy_score,f1_score
cv2.findContours,RETR_TREE,CHAIN_APPROX_SIMPLE,drawContours
cv2.imshow,waitKey,destroyAllWindows,imwrite
optim.SGD,zero_grad,step,backward
prettify,BeautifulSoup,get_text,find_all
sns.boxplot,set_title,set_xlabel,set_ylabel
sns.scatterplot,set_title,set_xlabel,set_ylabel
np.arange,reshape,linspace,zeros
